Cantón;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Moravia;4660;5304;5686;6061;6218;7128;7316;7770;8100;8619;9167;9593;8590;8362;8902;9830;10538;10822;11955;14278;14924;15380;16016;16488;16953;19881;18020;18241;18703,57939;18971;17705;17893;18427,27441
Montes de Oca;19306;20615;21857;21919;24183;24504;24813;25830;27473;28308;29939;30653;33093;37536;40106;42064;43770;47314;52570;54391;54308;55754;58021;62210;56677;58990;59594;60420;61406,60517;63482;60420;57159;59402,14691
Curridabat;7735;9516;9712;10403;11469;11876;12446;11900;12651;13757;14700;15121;12394;12791;12716;14062;14705;17010;19481;23171;20594;21543;23575;25005;25318;25080;25788;27036;27468,28843;27474;32000;28928;30022,56721
Alajuela Cantón Central;34403;35325;33646;37277;39076;40703;43029;43895;45489;46383;49151;50469;42297;44771;47539;49215;52292;57228;63725;70244;69936;74338;77186;79381;79942;81452;82633;85738;87192,88526;90230;90224;87065;92922
Atenas;3329;3531;3511;3742;3741;3854;4078;3735;4294;4825;4967;5051;4353;4112;4151;4257;4369;4761;5147;5604;5812;5954;5781;6045;6299;6522;6771;6959;7107,077118;7134;7275;7070;7562
Poás;2728;2730;2786;2991;3316;3551;3799;4119;4288;4602;4592;5165;4670;4475;4517;4222;4453;4657;4876;5025;5063;5417;5656;5772;5716;5647;5584;5396;5421,298;5322;5310;5144;5297
Cartago Cantón Central;30305;28830;29975;33501;35219;36373;37199;38019;40317;40982;44835;45783;40407;40566;39374;40841;41316;43966;46866;51208;49929;52434;54276;55227;54875;56804;57620;59610;60831,59709;61298;62778;61893;64595
Paraíso;6785;7334;808;9199;8839;780;7896;7621;8026;861;9424;9613;7887;8623;7922;7509;8444;9207;10087;10870;10946;11085;11480;12228;12807;13245;13636;12958;13179,26547;13133;12859;12824;13025
La Unión;4888;5114;5049;6299;6258;6266;6408;7018;7162;8382;9305;925;6315;6777;6976;7452;8691;9199;10596;12106;12203;13571;14580;15761;16665;18018;19166;20660;21013,47566;21949;23167;22771;24999
Alvarado;1021;1211;1124;1202;1145;1074;1013;925;973;1087;1192;1187;715;1185;1633;1488;1510;1683;1801;2099;2302;2407;2536;2640;2727;2854;2944;2963;3056,353144;3046;3070;3222;3293
Oreamuno;2043;2645;2699;3441;3073;3734;3656;2861;2877;2825;2839;2955;2583;2630;2436;2630;3298;3810;4323;4982;5301;5729;6084;6746;7191;7660;7759;7997;8024,965385;7951;7928;7807;7965
El Guarco;4015;4373;5140;4148;5487;5498;5380;5175;5574;5872;4143;4172;4027;4058;4143;3935;4404;6101;6528;7033;7039;7585;7791;9141;9498;9817;9836;10023;10140,46488;10225;10461;10085;10074
Heredia Cantón Central;22204;20591;20673;21630;23177;25712;28659;31101;33336;35043;37872;37202;33757;34964;37235;41442;46018;50767;54018;58308;59413;65582;71860;76739;77907;78665;83759;91138;95463,35382;100742;101576;104969;112320
Barva;2480;3639;3710;3795;4009;4371;4597;3319;3599;3885;4005;4210;2708;2864;2893;3077;3310;3490;4167;4701;4687;4789;5418;5644;5745;6049;5940;6328;6321,296293;6783;6788;6535;7034
Santo Domingo;4282;5257;4882;5151;593;5469;5700;5180;6137;6587;7332;7606;7380;7864;7928;8069;8527;9647;9703;10762;10875;11611;12542;13013;13111;13508;13680;13757;14003,30419;13253;13794;13386;13960
Santa Bárbara;2086;2171;2211;2339;2595;2677;2752;2774;2998;3194;3291;3073;2379;2341;2446;2506;2667;2868;3246;3651;4009;4222;4582;4848;4891;4915;5007;5147;5033,87948;5264;5407;5481;5846
San Rafael;3054;2827;2871;2996;3129;3258;3449;3247;3291;3644;3893;4107;2862;3123;3331;3663;3832;4111;4633;5331;5360;5919;6268;6697;6985;7358;7311;7938;8122,666367;8420;8500;8211;8469
San Isidro;937;1356;1429;1493;1478;1601;1750;1229;1348;1449;1546;1539;996;1146;1286;1428;1500;1640;1798;2043;2093;2333;2705;3051;3155;3206;3472;3792;3735,275008;3929;3998;3895;4013
Belén;9026;9715;10888;11538;12671;12522;12660;12054;13067;15506;16994;17546;15613;17008;16846;18185;18817;20477;21611;24818;23727;25094;25634;25260;25753;24411;24734;26752;28032,84903;28382;32585;33098;33095
Flores;3162;3845;3798;4138;4629;476;548;459;4826;4786;5402;5504;4002;4695;3664;4466;5276;5305;5452;6141;6431;7132;7271;7231;7444;7936;8170;8466;8737,504164;8923;8221;7540;8001
San Pablo;1252;1595;1460;1476;1569;1739;1714;1489;1571;1668;1831;1817;1981;2115;2141;2167;2254;2643;2973;3424;4075;4830;5883;6435;6409;6604;6638;7059;7215,005679;7583;7786;7925;8220
