CCANT;CANTON;YR;POPtot
306;Alvarado;1996;11559
307;Oreamuno;1996;36496
308;El Guarco;1996;31959
401;Heredia;1996;95571
402;Barva;1996;29797
403;Santo Domingo;1996;33698
404;Santa Bárbara;1996;26949
405;San Rafael;1996;34960
406;San Isidro;1996;14218
407;Belén;1996;18277
408;Flores;1996;14022
409;San Pablo;1996;19554
101;San José;1997;305723
102;Escazú;1997;50015
103;Desamparados;1997;177857
106;Aserrí;1997;48107
107;Mora;1997;20224
108;Goicoechea;1997;114694
109;Santa Ana;1997;32086
110;Alajuelita;1997;60461
111;Vásquez de Coronado;1997;49333
113;Tibás;1997;78153
114;Moravia;1997;49761
115;Montes de Oca;1997;49932
118;Curridabat;1997;58578
201;Alajuela;1997;207820
205;Atenas;1997;21548
208;Poás;1997;23112
301;Cartago;1997;127106
302;Paraíso;1997;47909
303;La Unión;1997;74911
306;Alvarado;1997;11852
307;Oreamuno;1997;37474
308;El Guarco;1997;32735
401;Heredia;1997;98464
402;Barva;1997;30731
403;Santo Domingo;1997;34270
404;Santa Bárbara;1997;27764
405;San Rafael;1997;35877
406;San Isidro;1997;14785
407;Belén;1997;18837
408;Flores;1997;14403
409;San Pablo;1997;20061
101;San José;1998;309960
102;Escazú;1998;51375
103;Desamparados;1998;184564
106;Aserrí;1998;49054
107;Mora;1998;20925
108;Goicoechea;1998;116875
109;Santa Ana;1998;33261
110;Alajuelita;1998;64175
111;Vásquez de Coronado;1998;51955
113;Tibás;1998;76795
114;Moravia;1998;50506
115;Montes de Oca;1998;50589
118;Curridabat;1998;59962
201;Alajuela;1998;215192
205;Atenas;1998;22099
208;Poás;1998;23921
301;Cartago;1998;130148
302;Paraíso;1998;49961
303;La Unión;1998;77511
306;Alvarado;1998;12143
307;Oreamuno;1998;38435
308;El Guarco;1998;33477
401;Heredia;1998;101267
402;Barva;1998;31648
403;Santo Domingo;1998;34803
404;Santa Bárbara;1998;28566
405;San Rafael;1998;36758
406;San Isidro;1998;15367
407;Belén;1998;19386
408;Flores;1998;14779
409;San Pablo;1998;20540
101;San José;1999;314326
102;Escazú;1999;52712
103;Desamparados;1999;191750
106;Aserrí;1999;49995
107;Mora;1999;21634
108;Goicoechea;1999;118990
109;Santa Ana;1999;34422
110;Alajuelita;1999;68182
111;Vásquez de Coronado;1999;54637
113;Tibás;1999;75407
114;Moravia;1999;51223
115;Montes de Oca;1999;51240
118;Curridabat;1999;61326
201;Alajuela;1999;222608
205;Atenas;1999;22637
208;Poás;1999;24737
301;Cartago;1999;133169
302;Paraíso;1999;52026
303;La Unión;1999;80161
306;Alvarado;1999;12431
307;Oreamuno;1999;39376
308;El Guarco;1999;34197
401;Heredia;1999;104120
402;Barva;1999;32555
403;Santo Domingo;1999;35311
404;Santa Bárbara;1999;29352
405;San Rafael;1999;37632
406;San Isidro;1999;15961
407;Belén;1999;19933
408;Flores;1999;15142
409;San Pablo;1999;20998
101;San José;2000;314063
102;Escazú;2000;53267
103;Desamparados;2000;189741
106;Aserrí;2000;35591
107;Mora;2000;13704
108;Goicoechea;2000;119442
109;Santa Ana;2000;35082
110;Alajuelita;2000;71485
111;Vásquez de Coronado;2000;56553
113;Tibás;2000;73208
114;Moravia;2000;51226
115;Montes de Oca;2000;51217
118;Curridabat;2000;61907
201;Alajuela;2000;224115
205;Atenas;2000;16783
208;Poás;2000;25177
301;Cartago;2000;124705
302;Paraíso;2000;53272
303;La Unión;2000;81673
306;Alvarado;2000;12506
307;Oreamuno;2000;39693
308;El Guarco;2000;33816
401;Heredia;2000;104936
402;Barva;2000;32973
403;Santo Domingo;2000;35316
404;Santa Bárbara;2000;29683
405;San Rafael;2000;37936
406;San Isidro;2000;16340
407;Belén;2000;20174
408;Flores;2000;15291
409;San Pablo;2000;21165
101;San José;2001;315675
102;Escazú;2001;54431
103;Desamparados;2001;192725
106;Aserrí;2001;36320
107;Mora;2001;14112
108;Goicoechea;2001;120508
109;Santa Ana;2001;36950
110;Alajuelita;2001;72745
111;Vásquez de Coronado;2001;57501
113;Tibás;2001;73915
114;Moravia;2001;52103
115;Montes de Oca;2001;52237
118;Curridabat;2001;63211
201;Alajuela;2001;229470
205;Atenas;2001;17064
208;Poás;2001;25684
301;Cartago;2001;126664
302;Paraíso;2001;53914
303;La Unión;2001;83816
306;Alvarado;2001;12720
307;Oreamuno;2001;40448
308;El Guarco;2001;34736
401;Heredia;2001;107440
402;Barva;2001;33855
403;Santo Domingo;2001;36302
404;Santa Bárbara;2001;30501
405;San Rafael;2001;39116
406;San Isidro;2001;16835
407;Belén;2001;20621
408;Flores;2001;15995
409;San Pablo;2001;22003
101;San José;2002;316330
102;Escazú;2002;55428
103;Desamparados;2002;195099
106;Aserrí;2002;36944
107;Mora;2002;14475
108;Goicoechea;2002;121193
109;Santa Ana;2002;38694
110;Alajuelita;2002;73778
111;Vásquez de Coronado;2002;58278
113;Tibás;2002;74391
114;Moravia;2002;52814
115;Montes de Oca;2002;53086
118;Curridabat;2002;64308
201;Alajuela;2002;234129
205;Atenas;2002;17296
208;Poás;2002;26109
301;Cartago;2002;128219
302;Paraíso;2002;54387
303;La Unión;2002;85722
306;Alvarado;2002;12895
307;Oreamuno;2002;41087
308;El Guarco;2002;35549
401;Heredia;2002;109593
402;Barva;2002;34630
403;Santo Domingo;2002;37170
404;Santa Bárbara;2002;31234
405;San Rafael;2002;40165
406;San Isidro;2002;17266
407;Belén;2002;21013
408;Flores;2002;16653
409;San Pablo;2002;22768
101;San José;2003;316654
102;Escazú;2003;56373
103;Desamparados;2003;197229
106;Aserrí;2003;37506
107;Mora;2003;14826
108;Goicoechea;2003;121733
109;Santa Ana;2003;40401
110;Alajuelita;2003;74706
111;Vásquez de Coronado;2003;58971
113;Tibás;2003;74811
114;Moravia;2003;53483
115;Montes de Oca;2003;53889
118;Curridabat;2003;65334
201;Alajuela;2003;238525
205;Atenas;2003;17504
208;Poás;2003;26499
301;Cartago;2003;129646
302;Paraíso;2003;54781
303;La Unión;2003;87508
306;Alvarado;2003;13055
307;Oreamuno;2003;41676
308;El Guarco;2003;36311
401;Heredia;2003;111635
402;Barva;2003;35361
403;Santo Domingo;2003;38020
404;Santa Bárbara;2003;31920
405;San Rafael;2003;41171
406;San Isidro;2003;17680
407;Belén;2003;21378
408;Flores;2003;17295
409;San Pablo;2003;23515
101;San José;2004;317186
102;Escazú;2004;57340
103;Desamparados;2004;199428
106;Aserrí;2004;38087
107;Mora;2004;15179
108;Goicoechea;2004;122321
109;Santa Ana;2004;42126
110;Alajuelita;2004;75638
111;Vásquez de Coronado;2004;59688
113;Tibás;2004;75260
114;Moravia;2004;54168
115;Montes de Oca;2004;54728
118;Curridabat;2004;66393
201;Alajuela;2004;243022
205;Atenas;2004;17734
208;Poás;2004;26911
301;Cartago;2004;131112
302;Paraíso;2004;55206
303;La Unión;2004;89326
306;Alvarado;2004;13223
307;Oreamuno;2004;42274
308;El Guarco;2004;37088
401;Heredia;2004;113720
402;Barva;2004;36100
403;Santo Domingo;2004;38879
404;Santa Bárbara;2004;32613
405;San Rafael;2004;42187
406;San Isidro;2004;18104
407;Belén;2004;21748
408;Flores;2004;17941
409;San Pablo;2004;24269
101;San José;2005;317657
102;Escazú;2005;58290
103;Desamparados;2005;201551
106;Aserrí;2005;38654
107;Mora;2005;15529
108;Goicoechea;2005;122874
109;Santa Ana;2005;43825
110;Alajuelita;2005;76545
111;Vásquez de Coronado;2005;60386
113;Tibás;2005;75693
114;Moravia;2005;54849
115;Montes de Oca;2005;55564
118;Curridabat;2005;67432
201;Alajuela;2005;247424
205;Atenas;2005;17945
208;Poás;2005;27296
301;Cartago;2005;132516
302;Paraíso;2005;55600
303;La Unión;2005;91096
306;Alvarado;2005;13380
307;Oreamuno;2005;42848
308;El Guarco;2005;37849
401;Heredia;2005;115786
402;Barva;2005;36829
403;Santo Domingo;2005;39729
404;Santa Bárbara;2005;33305
405;San Rafael;2005;43193
406;San Isidro;2005;18519
407;Belén;2005;22111
408;Flores;2005;18584
409;San Pablo;2005;25019
101;San José;2006;317899
102;Escazú;2006;59235
103;Desamparados;2006;203622
106;Aserrí;2006;39209
107;Mora;2006;15885
108;Goicoechea;2006;123390
109;Santa Ana;2006;45535
110;Alajuelita;2006;77426
111;Vásquez de Coronado;2006;61078
113;Tibás;2006;76096
114;Moravia;2006;55519
115;Montes de Oca;2006;56394
118;Curridabat;2006;68461
201;Alajuela;2006;251836
205;Atenas;2006;18155
208;Poás;2006;27682
301;Cartago;2006;133898
302;Paraíso;2006;55972
303;La Unión;2006;92859
306;Alvarado;2006;13536
307;Oreamuno;2006;43410
308;El Guarco;2006;38597
401;Heredia;2006;117853
402;Barva;2006;37549
403;Santo Domingo;2006;40582
404;Santa Bárbara;2006;33987
405;San Rafael;2006;44200
406;San Isidro;2006;18941
407;Belén;2006;22479
408;Flores;2006;19226
409;San Pablo;2006;25772
101;San José;2007;318117
102;Escazú;2007;60151
103;Desamparados;2007;205586
106;Aserrí;2007;39747
107;Mora;2007;16220
108;Goicoechea;2007;123844
109;Santa Ana;2007;47216
110;Alajuelita;2007;78290
111;Vásquez de Coronado;2007;61741
113;Tibás;2007;76473
114;Moravia;2007;56162
115;Montes de Oca;2007;57194
118;Curridabat;2007;69454
201;Alajuela;2007;256086
205;Atenas;2007;18374
208;Poás;2007;28050
301;Cartago;2007;135231
302;Paraíso;2007;56320
303;La Unión;2007;94580
306;Alvarado;2007;13684
307;Oreamuno;2007;43953
308;El Guarco;2007;39336
401;Heredia;2007;119848
402;Barva;2007;38249
403;Santo Domingo;2007;41416
404;Santa Bárbara;2007;34656
405;San Rafael;2007;45175
406;San Isidro;2007;19341
407;Belén;2007;22830
408;Flores;2007;19866
409;San Pablo;2007;26506
101;San José;2008;318438
102;Escazú;2008;61096
103;Desamparados;2008;207651
106;Aserrí;2008;40302
107;Mora;2008;16569
108;Goicoechea;2008;124351
109;Santa Ana;2008;48924
110;Alajuelita;2008;79179
111;Vásquez de Coronado;2008;62423
113;Tibás;2008;76879
114;Moravia;2008;56818
115;Montes de Oca;2008;57996
118;Curridabat;2008;70462
201;Alajuela;2008;260477
205;Atenas;2008;18586
208;Poás;2008;28436
301;Cartago;2008;136585
302;Paraíso;2008;56685
303;La Unión;2008;96335
306;Alvarado;2008;13855
307;Oreamuno;2008;44528
308;El Guarco;2008;40091
401;Heredia;2008;121880
402;Barva;2008;38966
403;Santo Domingo;2008;42266
404;Santa Bárbara;2008;35347
405;San Rafael;2008;46184
406;San Isidro;2008;19757
407;Belén;2008;23193
408;Flores;2008;20509
409;San Pablo;2008;27244
101;San José;2009;318751
102;Escazú;2009;62066
103;Desamparados;2009;209773
106;Aserrí;2009;40871
107;Mora;2009;16926
108;Goicoechea;2009;124883
109;Santa Ana;2009;50651
110;Alajuelita;2009;80099
111;Vásquez de Coronado;2009;63136
113;Tibás;2009;77315
114;Moravia;2009;57513
115;Montes de Oca;2009;58818
118;Curridabat;2009;71504
201;Alajuela;2009;264957
205;Atenas;2009;18798
208;Poás;2009;28834
301;Cartago;2009;138017
302;Paraíso;2009;57068
303;La Unión;2009;98127
306;Alvarado;2009;14017
307;Oreamuno;2009;45107
308;El Guarco;2009;40863
401;Heredia;2009;123984
402;Barva;2009;39692
403;Santo Domingo;2009;43139
404;Santa Bárbara;2009;36043
405;San Rafael;2009;47205
406;San Isidro;2009;20180
407;Belén;2009;23552
408;Flores;2009;21169
409;San Pablo;2009;27997
101;San José;2010;319858
102;Escazú;2010;63018
103;Desamparados;2010;211803
106;Aserrí;2010;41417
107;Mora;2010;17270
108;Goicoechea;2010;125388
109;Santa Ana;2010;52357
110;Alajuelita;2010;80967
111;Vásquez de Coronado;2010;63794
113;Tibás;2010;77741
114;Moravia;2010;58205
115;Montes de Oca;2010;59638
118;Curridabat;2010;72534
201;Alajuela;2010;269334
205;Atenas;2010;19033
208;Poás;2010;29233
301;Cartago;2010;139359
302;Paraíso;2010;57431
303;La Unión;2010;99849
306;Alvarado;2010;14182
307;Oreamuno;2010;45681
308;El Guarco;2010;41612
401;Heredia;2010;126057
402;Barva;2010;40425
403;Santo Domingo;2010;44038
404;Santa Bárbara;2010;36738
405;San Rafael;2010;48200
406;San Isidro;2010;20613
407;Belén;2010;23921
408;Flores;2010;21814
409;San Pablo;2010;28744
101;San José;2011;322155
102;Escazú;2011;63738
103;Desamparados;2011;214358
106;Aserrí;2011;41870
107;Mora;2011;17430
108;Goicoechea;2011;126776
109;Santa Ana;2011;53189
110;Alajuelita;2011;82322
111;Vásquez de Coronado;2011;64628
113;Tibás;2011;78506
114;Moravia;2011;58704
115;Montes de Oca;2011;60017
118;Curridabat;2011;73288
201;Alajuela;2011;273460
205;Atenas;2011;19245
208;Poás;2011;29693
301;Cartago;2011;140754
302;Paraíso;2011;58030
303;La Unión;2011;101195
306;Alvarado;2011;14302
307;Oreamuno;2011;46136
308;El Guarco;2011;42062
401;Heredia;2011;127738
402;Barva;2011;41086
403;Santo Domingo;2011;44549
404;Santa Bárbara;2011;37339
405;San Rafael;2011;48924
406;San Isidro;2011;20873
407;Belén;2011;24192
408;Flores;2011;22129
409;San Pablo;2011;29026
101;San José;2012;325155
102;Escazú;2012;64472
103;Desamparados;2012;216925
106;Aserrí;2012;42324
107;Mora;2012;17583
108;Goicoechea;2012;128143
109;Santa Ana;2012;54030
110;Alajuelita;2012;83678
111;Vásquez de Coronado;2012;65468
113;Tibás;2012;79255
114;Moravia;2012;59213
115;Montes de Oca;2012;60371
118;Curridabat;2012;74055
201;Alajuela;2012;277611
205;Atenas;2012;19477
208;Poás;2012;30166
301;Cartago;2012;142172
302;Paraíso;2012;58641
303;La Unión;2012;102532
306;Alvarado;2012;14439
307;Oreamuno;2012;46606
308;El Guarco;2012;42521
401;Heredia;2012;129420
402;Barva;2012;41761
403;Santo Domingo;2012;45085
404;Santa Bárbara;2012;37971
405;San Rafael;2012;49630
406;San Isidro;2012;21155
407;Belén;2012;24474
408;Flores;2012;22455
409;San Pablo;2012;29307
101;San José;2013;328152
102;Escazú;2013;65201
103;Desamparados;2013;219497
106;Aserrí;2013;42789
107;Mora;2013;17738
108;Goicoechea;2013;129514
109;Santa Ana;2013;54891
110;Alajuelita;2013;85047
111;Vásquez de Coronado;2013;66309
113;Tibás;2013;79994
114;Moravia;2013;59705
115;Montes de Oca;2013;60706
118;Curridabat;2013;74819
201;Alajuela;2013;281785
205;Atenas;2013;19713
208;Poás;2013;30650
301;Cartago;2013;143575
302;Paraíso;2013;59259
303;La Unión;2013;103865
306;Alvarado;2013;14589
307;Oreamuno;2013;47081
308;El Guarco;2013;42994
401;Heredia;2013;131091
402;Barva;2013;42444
403;Santo Domingo;2013;45619
404;Santa Bárbara;2013;38596
405;San Rafael;2013;50332
406;San Isidro;2013;21433
407;Belén;2013;24751
408;Flores;2013;22781
409;San Pablo;2013;29590
101;San José;2014;331019
102;Escazú;2014;65925
103;Desamparados;2014;222034
106;Aserrí;2014;43237
107;Mora;2014;17895
108;Goicoechea;2014;130854
109;Santa Ana;2014;55733
110;Alajuelita;2014;86397
111;Vásquez de Coronado;2014;67139
113;Tibás;2014;80743
114;Moravia;2014;60217
115;Montes de Oca;2014;61032
118;Curridabat;2014;75582
201;Alajuela;2014;285910
205;Atenas;2014;19945
208;Poás;2014;31121
301;Cartago;2014;144962
302;Paraíso;2014;59861
303;La Unión;2014;105194
306;Alvarado;2014;14715
307;Oreamuno;2014;47550
308;El Guarco;2014;43455
401;Heredia;2014;132754
402;Barva;2014;43110
403;Santo Domingo;2014;46161
404;Santa Bárbara;2014;39231
405;San Rafael;2014;51028
406;San Isidro;2014;21712
407;Belén;2014;25024
408;Flores;2014;23106
409;San Pablo;2014;29869
101;San José;2015;333980
102;Escazú;2015;66652
103;Desamparados;2015;224531
106;Aserrí;2015;43682
107;Mora;2015;18044
108;Goicoechea;2015;132210
109;Santa Ana;2015;56570
110;Alajuelita;2015;87734
111;Vásquez de Coronado;2015;67937
113;Tibás;2015;81506
114;Moravia;2015;60729
115;Montes de Oca;2015;61386
118;Curridabat;2015;76333
201;Alajuela;2015;289995
205;Atenas;2015;20177
208;Poás;2015;31583
301;Cartago;2015;146321
302;Paraíso;2015;60448
303;La Unión;2015;106490
306;Alvarado;2015;14853
307;Oreamuno;2015;48008
308;El Guarco;2015;43907
401;Heredia;2015;134419
402;Barva;2015;43776
403;Santo Domingo;2015;46710
404;Santa Bárbara;2015;39843
405;San Rafael;2015;51736
406;San Isidro;2015;21985
407;Belén;2015;25296
408;Flores;2015;23426
409;San Pablo;2015;30144
101;San José;2016;336792
102;Escazú;2016;67362
103;Desamparados;2016;226953
106;Aserrí;2016;44091
107;Mora;2016;18168
108;Goicoechea;2016;133557
109;Santa Ana;2016;57378
110;Alajuelita;2016;89154
111;Vásquez de Coronado;2016;68725
113;Tibás;2016;82216
114;Moravia;2016;61148
115;Montes de Oca;2016;61661
118;Curridabat;2016;77028
201;Alajuela;2016;294210
205;Atenas;2016;20381
208;Poás;2016;32090
301;Cartago;2016;147574
302;Paraíso;2016;60980
303;La Unión;2016;107755
306;Alvarado;2016;14976
307;Oreamuno;2016;48428
308;El Guarco;2016;44318
401;Heredia;2016;136059
402;Barva;2016;44449
403;Santo Domingo;2016;47200
404;Santa Bárbara;2016;40452
405;San Rafael;2016;52472
406;San Isidro;2016;22247
407;Belén;2016;25544
408;Flores;2016;23729
409;San Pablo;2016;30370
101;San José;2017;339581
102;Escazú;2017;68050
103;Desamparados;2017;229317
106;Aserrí;2017;44483
107;Mora;2017;18289
108;Goicoechea;2017;134855
109;Santa Ana;2017;58159
110;Alajuelita;2017;90543
111;Vásquez de Coronado;2017;69500
113;Tibás;2017;82889
114;Moravia;2017;61542
115;Montes de Oca;2017;61901
118;Curridabat;2017;77691
201;Alajuela;2017;298344
205;Atenas;2017;20591
208;Poás;2017;32583
301;Cartago;2017;148795
302;Paraíso;2017;61503
303;La Unión;2017;108990
306;Alvarado;2017;15092
307;Oreamuno;2017;48830
308;El Guarco;2017;44717
401;Heredia;2017;137657
402;Barva;2017;45106
403;Santo Domingo;2017;47672
404;Santa Bárbara;2017;41047
405;San Rafael;2017;53197
406;San Isidro;2017;22500
407;Belén;2017;25783
408;Flores;2017;24028
409;San Pablo;2017;30586
101;San José;2018;342188
102;Escazú;2018;68728
103;Desamparados;2018;231603
106;Aserrí;2018;44870
107;Mora;2018;18404
108;Goicoechea;2018;136112
109;Santa Ana;2018;58946
110;Alajuelita;2018;91917
111;Vásquez de Coronado;2018;70247
113;Tibás;2018;83564
114;Moravia;2018;61918
115;Montes de Oca;2018;62107
118;Curridabat;2018;78331
201;Alajuela;2018;302415
205;Atenas;2018;20793
208;Poás;2018;33070
301;Cartago;2018;149978
302;Paraíso;2018;62007
303;La Unión;2018;110194
306;Alvarado;2018;15219
307;Oreamuno;2018;49229
308;El Guarco;2018;45106
401;Heredia;2018;139214
402;Barva;2018;45751
403;Santo Domingo;2018;48130
404;Santa Bárbara;2018;41637
405;San Rafael;2018;53901
406;San Isidro;2018;22754
407;Belén;2018;26016
408;Flores;2018;24315
409;San Pablo;2018;30798
101;San José;2019;344851
102;Escazú;2019;69394
103;Desamparados;2019;233832
106;Aserrí;2019;45231
107;Mora;2019;18507
108;Goicoechea;2019;137328
109;Santa Ana;2019;59701
110;Alajuelita;2019;93247
111;Vásquez de Coronado;2019;70972
113;Tibás;2019;84215
114;Moravia;2019;62290
115;Montes de Oca;2019;62310
118;Curridabat;2019;78961
201;Alajuela;2019;306398
205;Atenas;2019;20986
208;Poás;2019;33541
301;Cartago;2019;151111
302;Paraíso;2019;62480
303;La Unión;2019;111369
306;Alvarado;2019;15322
307;Oreamuno;2019;49604
308;El Guarco;2019;45488
401;Heredia;2019;140749
402;Barva;2019;46380
403;Santo Domingo;2019;48581
404;Santa Bárbara;2019;42208
405;San Rafael;2019;54587
406;San Isidro;2019;22996
407;Belén;2019;26237
408;Flores;2019;24603
409;San Pablo;2019;31000
101;San José;2020;347398
102;Escazú;2020;70054
103;Desamparados;2020;235988
106;Aserrí;2020;45584
107;Mora;2020;18616
108;Goicoechea;2020;138525
109;Santa Ana;2020;60453
110;Alajuelita;2020;94548
111;Vásquez de Coronado;2020;71663
113;Tibás;2020;84873
114;Moravia;2020;62669
115;Montes de Oca;2020;62533
118;Curridabat;2020;79577
201;Alajuela;2020;310302
205;Atenas;2020;21178
208;Poás;2020;34006
301;Cartago;2020;152203
302;Paraíso;2020;62941
303;La Unión;2020;112508
306;Alvarado;2020;15433
307;Oreamuno;2020;49972
308;El Guarco;2020;45855
401;Heredia;2020;142263
402;Barva;2020;47002
403;Santo Domingo;2020;49045
404;Santa Bárbara;2020;42778
405;San Rafael;2020;55269
406;San Isidro;2020;23230
407;Belén;2020;26459
408;Flores;2020;24886
409;San Pablo;2020;31200
